ID,Level1,Level2
1,bikes,mountain bikes
2,bikes,road bikes
3,bikes,touring bikes
4,components,handlebars
5,components,bottom brackets
6,components,brakes
7,components,chains
8,components,cranksets
9,components,derailleurs
10,components,forks
11,components,headsets
12,components,mountain frames
13,components,pedals
14,components,road frames
15,components,saddles
16,components,touring frames
17,components,wheels
18,clothing,bib-shorts
19,clothing,caps
20,clothing,gloves
21,clothing,jerseys
22,clothing,shorts
23,clothing,socks
24,clothing,tights
25,clothing,vests
26,accessories,bike racks
27,accessories,bike stands
28,accessories,bottles and cages
29,accessories,cleaners
30,accessories,fenders
31,accessories,helmets
32,accessories,hydration packs
33,accessories,lights
34,accessories,locks
35,accessories,panniers
36,accessories,pumps
37,accessories,tires and tubes
